Element	autophagosome assembly	autophagosome maturation	autophagosome-lysosome fusion	fabry disease	farber disease	gaucher disease	gm1 gangliosidosis	krabbe disease	metachromatic leukodystrophy	negative regulation of autophagy	niemann-pick disease type a/b	phagophore	phagophore assembly site	positive regulation of cell growth	positive regulation of glycolytic process	sandhoff disease	tay-sachs disease	type 1 gd	type 2 gd	type 3 gd
m3	0	0	0	5	5	5	5	5	5	0	5	0	0	0	0	5	5	0	0	0
m5	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m22	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m2	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m13	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m11	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m8	0	0	0	7	7	7	7	7	7	0	7	0	0	0	0	7	7	0	0	0
m17	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	4	4	4
m33	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m12	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m34	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m14	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m35	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m15	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	0
m36	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m16	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m6	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m7	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	0
m37	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m18	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m20	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m38	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m19	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m21	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m24	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m39	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m23	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m25	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m28	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	0
m40	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m26	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m27	0	0	0	3	3	3	3	3	3	0	3	0	0	0	0	3	3	0	0	0
m9	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m29	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m41	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m30	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	0
m32	0	0	0	2	2	2	2	2	2	0	2	0	0	0	0	2	2	0	0	0
m42	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m31	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m617	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1
m191	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
m4635	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m294	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0
m51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m56	4	4	4	0	0	0	0	0	0	4	0	4	4	4	4	0	0	0	0	0
m67	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m59	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m60	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m61	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m58	2	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m66	3	3	3	0	0	0	0	0	0	3	0	3	3	3	3	0	0	0	0	0
m68	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0
m69	2	2	2	0	0	0	0	0	0	2	0	2	2	2	2	0	0	0	0	0
m76	6	6	6	0	0	0	0	0	0	6	0	6	5	6	6	0	0	0	0	0
